num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.018,-1.1916781565412525e-4,0.00823007179221075,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.011,-0.012562931755082558,0.006992839601327569,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.007,-0.036586510909671396,0.0067884220937394065,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.017,-1.1916781565446738e-4,0.008230071792210737,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.01,-0.010966930985593449,0.006542881795360579,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.037,0.004282881376243874,0.007179966396931463,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.026,-0.004424003376575291,0.007049018284323404,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.015,-0.01904527277088149,0.006296944404509751,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.032,0.0022489540471101158,0.008214297252184173,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.028,-3.8556314960027266e-4,0.006637927119059209,0,1000
